database_family	revised_family	database_name	revised_name	database	tax_ref	year_ref	canine	evidence_canine	reference_canine	obs_canine	diet	reference diet	horn	reference_horn	obs1	obs2	category	is_ruminant
	helohyidae	Achaenodon_fremdi	Achaenodon_fremdi	pbdb	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	NA	NA	NA								valid_species	no
	helohyidae	Achaenodon_insolens	Achaenodon_insolens	pbdb	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	NA	NA	NA								valid_species	no
	helohyidae	Achaenodon_robustus	Achaenodon_robustus	pbdb	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	NA	NA	NA								valid_species	no
	helohyidae	Achaenodon_uintensis	Achaenodon_uintense	pbdb	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	NA	NA	NA								typo	no
	Cervidae	Amphimoschus_artenensis	Amphimoschus_artenensis	pbdb	Wang; X.; Flynn; L. J.; Wang; X.; Flynn; L. J.; & Fortelius; M. (2013)._Fossil mammals of Asia. Columbia University Press.	2013	not_found	 	 								valid_species	yes
	Cervidae	Amphimoschus_pontileviensis	Amphimoschus_ponteleviensis	pbdb	Ginsburg; L. (2001). Les faunes de mammif态res terrestres du Mioc态ne moyen des Faluns du bassin de Savign泰-sur-Lathan (France). Geodiversitas; 23(3); 381-394.	2001	not_found	 	 								typo	yes
		Babameryx_engesseri	Babameryx_engesseri	pbdb	Mennecart; B. (2012)._The Ruminantia (Mammalia; Cetartiodactyla) from the Oligocene to the Early Miocene of Western Europe_(Doctoral dissertation; Universit_ de Fribourg).	2012	 	 	 								valid_species	yes
		Boreameryx_braskerudi	Boreameryx_braskerudi	pbdb	Dawson; M. R.; & Harington; C. R. (2007). Boreameryx; an unusual new artiodactyl (Mammalia) from the Pliocene of Arctic Canada and endemism in Arctic fossil mammals._Canadian Journal of Earth Sciences;_44(5); 585-592.	2007	 	 	 								valid_species	yes
		Bugtimeryx_pilgrimi	Bugtimeryx_pilgrimi	pbdb	Wang; X.; Flynn; L. J.; Wang; X.; Flynn; L. J.; & Fortelius; M. (2013)._Fossil mammals of Asia. Columbia University Press.	2013	 	 	 								valid_species	yes
		Camelopardalis_parva	NA	pbdb	assumed	NA	invalid	invalid	invalid							some authors argue this could be an female from some Palaeotragus species - ref: Beddard; F. E. (1902). The Cambridge Natural History: Mammalia (Vol. 1). Library of Alexandria.	invalid	invalid
